Dial,ISO3166-1-Alpha-3,ISO3166-1-Alpha-2,Capital,Continent,Languages
886,TWN,TW,Taipei,AS,"zh-TW,zh,nan,hak"
93,AFG,AF,Kabul,AS,"fa-AF,ps,uz-AF,tk"
355,ALB,AL,Tirana,EU,"sq,el"
213,DZA,DZ,Algiers,AF,ar-DZ
1-684,ASM,AS,Pago Pago,OC,"en-AS,sm,to"
376,AND,AD,Andorra la Vella,EU,ca
244,AGO,AO,Luanda,AF,pt-AO
1-264,AIA,AI,The Valley,NA,en-AI
672,ATA,AQ,,AN,
1-268,ATG,AG,St. John's,NA,en-AG
54,ARG,AR,Buenos Aires,SA,"es-AR,en,it,de,fr,gn"
374,ARM,AM,Yerevan,AS,hy
297,ABW,AW,Oranjestad,NA,"nl-AW,pap,es,en"
61,AUS,AU,Canberra,OC,en-AU
43,AUT,AT,Vienna,EU,"de-AT,hr,hu,sl"
994,AZE,AZ,Baku,AS,"az,ru,hy"
1-242,BHS,BS,Nassau,NA,en-BS
973,BHR,BH,Manama,AS,"ar-BH,en,fa,ur"
880,BGD,BD,Dhaka,AS,"bn-BD,en"
1-246,BRB,BB,Bridgetown,NA,en-BB
375,BLR,BY,Minsk,EU,"be,ru"
32,BEL,BE,Brussels,EU,"nl-BE,fr-BE,de-BE"
501,BLZ,BZ,Belmopan,NA,"en-BZ,es"
229,BEN,BJ,Porto-Novo,AF,fr-BJ
1-441,BMU,BM,Hamilton,NA,"en-BM,pt"
975,BTN,BT,Thimphu,AS,dz
591,BOL,BO,Sucre,SA,"es-BO,qu,ay"
599,BES,BQ,,NA,"nl,pap,en"
387,BIH,BA,Sarajevo,EU,"bs,hr-BA,sr-BA"
267,BWA,BW,Gaborone,AF,"en-BW,tn-BW"
47,BVT,BV,,AN,
55,BRA,BR,Brasilia,SA,"pt-BR,es,en,fr"
246,IOT,IO,Diego Garcia,AS,en-IO
1-284,VGB,VG,Road Town,NA,en-VG
673,BRN,BN,Bandar Seri Begawan,AS,"ms-BN,en-BN"
359,BGR,BG,Sofia,EU,"bg,tr-BG,rom"
226,BFA,BF,Ouagadougou,AF,"fr-BF,mos"
257,BDI,BI,Bujumbura,AF,"fr-BI,rn"
238,CPV,CV,Praia,AF,pt-CV
855,KHM,KH,Phnom Penh,AS,"km,fr,en"
237,CMR,CM,Yaounde,AF,"en-CM,fr-CM"
1,CAN,CA,Ottawa,NA,"en-CA,fr-CA,iu"
1-345,CYM,KY,George Town,NA,en-KY
236,CAF,CF,Bangui,AF,"fr-CF,sg,ln,kg"
235,TCD,TD,N'Djamena,AF,"fr-TD,ar-TD,sre"
56,CHL,CL,Santiago,SA,es-CL
86,CHN,CN,Beijing,AS,"zh-CN,yue,wuu,dta,ug,za"
852,HKG,HK,Hong Kong,AS,"zh-HK,yue,zh,en"
853,MAC,MO,Macao,AS,"zh,zh-MO,pt"
61,CXR,CX,Flying Fish Cove,OC,"en,zh,ms-CC"
61,CCK,CC,West Island,AS,"ms-CC,en"
57,COL,CO,Bogota,SA,es-CO
269,COM,KM,Moroni,AF,"ar,fr-KM"
242,COG,CG,Brazzaville,AF,"fr-CG,kg,ln-CG"
682,COK,CK,Avarua,OC,"en-CK,mi"
506,CRI,CR,San Jose,NA,"es-CR,en"
385,HRV,HR,Zagreb,EU,"hr-HR,sr"
53,CUB,CU,Havana,NA,"es-CU,pap"
599,CUW,CW, Willemstad,NA,"nl,pap"
357,CYP,CY,Nicosia,EU,"el-CY,tr-CY,en"
420,CZE,CZ,Prague,EU,"cs,sk"
225,CIV,CI,Yamoussoukro,AF,fr-CI
850,PRK,KP,Pyongyang,AS,ko-KP
243,COD,CD,Kinshasa,AF,"fr-CD,ln,ktu,kg,sw,lua"
45,DNK,DK,Copenhagen,EU,"da-DK,en,fo,de-DK"
253,DJI,DJ,Djibouti,AF,"fr-DJ,ar,so-DJ,aa"
1-767,DMA,DM,Roseau,NA,en-DM
"1-809,1-829,1-849",DOM,DO,Santo Domingo,NA,es-DO
593,ECU,EC,Quito,SA,es-EC
20,EGY,EG,Cairo,AF,"ar-EG,en,fr"
503,SLV,SV,San Salvador,NA,es-SV
240,GNQ,GQ,Malabo,AF,"es-GQ,fr"
291,ERI,ER,Asmara,AF,"aa-ER,ar,tig,kun,ti-ER"
372,EST,EE,Tallinn,EU,"et,ru"
268,SWZ,SZ,Mbabane,AF,"en-SZ,ss-SZ"
251,ETH,ET,Addis Ababa,AF,"am,en-ET,om-ET,ti-ET,so-ET,sid"
500,FLK,FK,Stanley,SA,en-FK
298,FRO,FO,Torshavn,EU,"fo,da-FO"
679,FJI,FJ,Suva,OC,"en-FJ,fj"
358,FIN,FI,Helsinki,EU,"fi-FI,sv-FI,smn"
33,FRA,FR,Paris,EU,"fr-FR,frp,br,co,ca,eu,oc"
594,GUF,GF,Cayenne,SA,fr-GF
689,PYF,PF,Papeete,OC,"fr-PF,ty"
262,ATF,TF,Port-aux-Francais,AN,fr
241,GAB,GA,Libreville,AF,fr-GA
220,GMB,GM,Banjul,AF,"en-GM,mnk,wof,wo,ff"
995,GEO,GE,Tbilisi,AS,"ka,ru,hy,az"
49,DEU,DE,Berlin,EU,de
233,GHA,GH,Accra,AF,"en-GH,ak,ee,tw"
350,GIB,GI,Gibraltar,EU,"en-GI,es,it,pt"
30,GRC,GR,Athens,EU,"el-GR,en,fr"
299,GRL,GL,Nuuk,NA,"kl,da-GL,en"
1-473,GRD,GD,St. George's,NA,en-GD
590,GLP,GP,Basse-Terre,NA,fr-GP
1-671,GUM,GU,Hagatna,OC,"en-GU,ch-GU"
502,GTM,GT,Guatemala City,NA,es-GT
44,GGY,GG,St Peter Port,EU,"en,nrf"
224,GIN,GN,Conakry,AF,fr-GN
245,GNB,GW,Bissau,AF,"pt-GW,pov"
592,GUY,GY,Georgetown,SA,en-GY
509,HTI,HT,Port-au-Prince,NA,"ht,fr-HT"
672,HMD,HM,,AN,
37,VAT,VA,Vatican City,EU,"la,it,fr"
504,HND,HN,Tegucigalpa,NA,"es-HN,cab,miq"
36,HUN,HU,Budapest,EU,hu-HU
